Euptoieta hegesia
Camponotus coruscus
Pachycondyla crassinoda
Schnella glabra
Bachia talpa
Porites astreoides
Emesis mandana
Heliconius erato
Adenocalymma aspericarpum
Trachymyrmex bugnioni
Columbina talpacoti
Brotogeris jugularis
Machaerium biovulatum
Leucaena leucocephala
Cephalotes minutus
Milvago chimachima
Samanea saman
Leporinus striatus
Hypostomus plecostomus
Coursetia ferruginea
Wedelia fruticosa
Ephemerella subvaria
Mycetomoellerius urichii
Trachymyrmex urichii
Arcella hemisphaerica
Uroxys boneti
Centropyxis constricta
Fridericia pubescens
Coryphospingus pileatus
Amazona farinosa
Lecane acus
Paches loxus
Bourreria exsucca
Typha domingensis
Parabuteo unicinctus
Oligoryzomys delicatus
Methionopsis dolor
Bouteloua aristidoides
Drymarchon caudomaculatus
Cenchrus spinifex
Campephilus melanoleucos
Hura crepitans
Mesosphaerum suaveolens
Procyon cancrivorus
Attila spadiceus
Cordia collococca
Macrophyllum macrophyllum
Zapoteca formosa
Onthophagus landolti
Catonephele nyctimus
Tabebuia rosea
Labidus praedator
Camponotus zoc
Paullinia pinnata
Coea acheronta
Anartia amathea
Perrhybris pamela
Senna siamea
Thryophilus rufalbus
Amphimedon viridis
Morisonia americana
Ziegleria hesperitis
Elachistocleis panamensis
Myrospermum frutescens
Clelia clelia
Itaballia demophile
Riparia riparia
Crematogaster distans
Tringa solitaria
Libytheana carinenta
Falco peregrinus
Quadrella odoratissima
Notylia pentachne
Amazilia tzacatl
Phanaeus hermes
Porphyrolaema porphyrolaema
Capsicum annuum
Tabernaemontana amygdalifolia
Atalotriccus pilaris
Coprophanaeus gamezi
Pyrocephalus rubinus
Paullinia alata
Mestra hersilia
Merremia umbellata
Lachesiodendron viridiflorum
Momotus momota
Anuraeopsis fissa
Difflugia globulosa
Siderone galanthis
Jatropha urens
Eurysternus plebejus
Micronycteris hirsuta
Pionus sordidus
Difflugia urceolata
Xiphorhynchus susurrans
Ctena orbiculata
Myiarchus crinitus
Simarouba glauca
Hylephila phyleus
Catharus ustulatus
Cabassous centralis
Poecilia caucana
Characidium fasciatum
Fluvicola pica
Dendrocolaptes picumnus
Zopyrion satyrina
Mus musculus
Mechanitis polymnia
Pheidole cocciphaga
Setophaga ruticilla
Camponotus substitutus
Melicoccus oliviformis
Arcella vulgaris
Tyrannopsis sulphurea
Paullinia macrophylla
Macropharynx colombiana
Orbicella annularis
Hirundo rustica
Pyrisitia proterpia
Myiarchus panamensis
Deltochilum guildingii
Galbula ruficauda
Icterus galbula
Leptophis ahaetulla
Tachycineta albiventer
Strephonota tephraeus
Lecane hastata
Bubulcus ibis
Ayenia magna
Pomacea canaliculata
Eunica viola
Crotophaga major
Calephelis perditalis
Megascops choliba
Cathartes burrovianus
Euphorbia hirta
Leptotila verreauxi
Colaptes punctigula
Aristolochia jackii
Crematogaster bryophilia
Ophionereis reticulata
Myiarchus venezuelensis
Parkinsonia praecox
Manihot carthaginensis
Spatula discors
Hylophilus flavipes
Sylvicanthon aequinoctialis
Dichotomius coenosus
Pecari tajacu
Tityra inquisitor
Spinus psaltria
Ruellia paniculata
Onthophagus crinitus
Rhagovelia oriander
Megarynchus pitangua
Megaceryle alcyon
Falco columbarius
Priva lappulacea
Parkesia motacilla
Convolvulus nodiflorus
Pseudoscops clamator
Chione cancellata
Holothuria mexicana
Micronycteris minuta
Tyrannus tyrannus
Leptothorax subditivus
Eciton burchellii
Trinycteris nicefori
Tabernaemontana grandiflora
Colicodendron yco
Coragyps atratus
